codeIBGE,groups
63001,Alimentacao
63002,Alimentacao
63003,Alimentacao
63018,Alimentacao
63033,Alimentacao
63034,Alimentacao
63012,Alimentacao
63013,Alimentacao
63014,Alimentacao
63015,Alimentacao
63016,Alimentacao
63017,Alimentacao
63019,Alimentacao
63021,Alimentacao
63022,Alimentacao
63023,Alimentacao
63024,Alimentacao
63025,Alimentacao
63026,Alimentacao
63031,Alimentacao
63046,Alimentacao
63037,Alimentacao
63038,Alimentacao
63039,Alimentacao
63040,Alimentacao
63041,Alimentacao
63043,Alimentacao
63044,Alimentacao
63045,Alimentacao
63004,Alimentacao
63005,Alimentacao
63006,Alimentacao
63007,Alimentacao
63008,Alimentacao
63009,Alimentacao
63010,Alimentacao
63011,Alimentacao
63020,Alimentacao
63027,Alimentacao
63028,Alimentacao
63029,Alimentacao
63030,Alimentacao
63032,Alimentacao
63035,Alimentacao
63036,Alimentacao
63042,Alimentacao
63047,Alimentacao
63048,Alimentacao
63049,Alimentacao
66001,Alimentacao
66002,Alimentacao
66003,Alimentacao
66004,Alimentacao
66005,Alimentacao
66006,Alimentacao
66007,Alimentacao
66008,Alimentacao
66009,Alimentacao
66010,Alimentacao
66011,Alimentacao
66012,Alimentacao
66013,Alimentacao
66014,Alimentacao
66015,Alimentacao
66016,Alimentacao
66018,Alimentacao
66019,Alimentacao
66020,Alimentacao
66021,Alimentacao
66022,Alimentacao
66024,Alimentacao
66025,Alimentacao
66027,Alimentacao
66028,Alimentacao
65032,Alimentacao
65033,Alimentacao
65034,Alimentacao
65049,Alimentacao
65069,Alimentacao
65010,Alimentacao
65014,Alimentacao
65001,Alimentacao
65002,Alimentacao
65003,Alimentacao
65004,Alimentacao
65005,Alimentacao
65006,Alimentacao
65007,Alimentacao
65008,Alimentacao
65009,Alimentacao
65011,Alimentacao
65012,Alimentacao
65013,Alimentacao
65015,Alimentacao
65016,Alimentacao
65017,Alimentacao
65018,Alimentacao
65019,Alimentacao
65020,Alimentacao
65021,Alimentacao
65022,Alimentacao
65023,Alimentacao
65024,Alimentacao
65025,Alimentacao
65026,Alimentacao
65027,Alimentacao
65028,Alimentacao
65029,Alimentacao
65030,Alimentacao
65031,Alimentacao
65035,Alimentacao
65036,Alimentacao
65037,Alimentacao
65038,Alimentacao
65039,Alimentacao
65040,Alimentacao
65041,Alimentacao
65042,Alimentacao
65043,Alimentacao
65044,Alimentacao
65045,Alimentacao
65046,Alimentacao
65047,Alimentacao
65048,Alimentacao
65050,Alimentacao
65051,Alimentacao
65052,Alimentacao
65053,Alimentacao
65054,Alimentacao
