Vari‡vel,VAR,tamanho,Decimais, inicial
TIPO DE REGISTRO                  ,registro,2,,1
CîDIGO DA UF,uf,2,,3
NòMERO SEQUENCIAL,n_seq,3,,5
DV DO SEQUENCIAL,dv_seq,1,,8
NòMERO DO DOMICêLIO,n_dom,2,,9
NòMERO DA UC                      ,n_uc,1,,11
ESTRATO GEOGRçFICO,estrato,2,,12
FATOR DE EXPANSÌO 1 (DESENHO AMOSTRAL)           ,fator_exp,14,8,14
FATOR DE EXPANSÌO 2 (AJUSTADO P/ ESTIMATIVAS)           ,fator_exp_2,14,8,28
NòMERO DO QUADRO                 ,n_quadro,2,,42
CîDIGO DO ITEM                   ,cod_item,5,,44
QUANTIDADE DO ITEM,quant_item,2,,49
ANO DA òLTIMA AQUISI‚ÌO,ano_ult_aqui,4,,51
ESTADO DA òLTIMA AQUISI‚ÌO,est_ult_aqui,1,,55
FORMA DA òLTIMA AQUISI‚ÌO,form_ult_aqui,2,,56
CîDIGO DE IMPUTA‚ÌO                ,cod_impu,2,,58
RENDA MONETçRIA MENSAL DA UC      ,rend_mon_mes_uc,16,2,60
RENDA NÌO MONETçRIA MENSAL DA UC  ,rend_nmon_mes_uc,16,2,76
RENDA TOTAL MENSAL DA UC                ,rend_tot_mes_uc,16,2,92
