Variavel,VAR,tamanho,Decimais, inicial
TIPO DE REGISTRO                  ,registro,2,,1
CîDIGO DA UF,uf,2,,3
NòMERO SEQUENCIAL,n_seq,3,,5
DV DO SEQUENCIAL,dv_seq,1,,8
NòMERO DO DOMICêLIO,n_dom,2,,9
NòMERO DA UC                      ,n_uc,1,,11
ESTRATO GEOGRçFICO,estrato,2,,12
FATOR DE EXPANSÌO 1 (DESENHO AMOSTRAL)           ,fator_exp,14,8,14
FATOR DE EXPANSÌO 2 (AJUSTADO P/ ESTIMATIVAS)           ,fator_exp_2,14,8,28
NòMERO DO QUADRO                  ,n_quadro,2,,42
CîDIGO DO ITEM                    ,cod_item,5,,44
FORMA DE AQUISI‚ÌO                ,forma_aqui,2,,49
VALOR DA DESPESA / AQUISI‚ÌO                 ,valor_despe,11,2,51
ESTADO DE AQUISI‚ÌO                  ,estado_aqui,1,,62
FATOR DE ANUALIZA‚ÌO                 ,fator_anu,2,,63
DEFLATOR FATOR                ,deflator,5,2,65
VALOR DA DESPESA DEFLACIONADO      ,desp_defla,11,2,70
VALOR DA DESPESA ANUALIZADO E EXPANDIDO (FATOR2)     ,desp_anu_exp,16,2,81
CîDIGO DE IMPUTA‚ÌO                   ,cod_impu,2,,97
RENDA MONETçRIA MENSAL DA UC       ,rend_mon_mes_uc,16,2,99
RENDA NÌO MONETçRIA MENSAL DA UC   ,rend_nmon_mes_uc,16,2,115
RENDA TOTAL MENSAL DA UC                 ,rend_tot_mes_uc,16,2,131
CîDIGO DO LOCAL DE AQUISI‚ÌO,cod_loc_aqui,5,,147
