Variavel,VAR,tamanho,Decimais, inicial
TIPO DE REGISTRO                  ,registro,2,,1
CîDIGO DA UF,uf,2,,3
NòMERO SEQUENCIAL,n_seq,3,,5
DV DO SEQUENCIAL,dv_seq,1,,8
NòMERO DO DOMICêLIO,n_dom,2,,9
NòMERO DA UC                      ,n_uc,1,,11
ESTRATO GEOGRçFICO,estrato,2,,12
FATOR DE EXPANSÌO 1 (DESENHO AMOSTRAL)           ,fator_exp,14,8,14
FATOR DE EXPANSÌO 2 (AJUSTADO P/ ESTIMATIVAS)           ,fator_exp_2,14,8,28
NòMERO DO QUADRO                  ,n_quadro,2,,42
NòMERO DO GRUPO DE DESPESA,n_gru_despe,2,,44
CîDIGO DO ITEM                    ,cod_item,5,,46
FORMA DE AQUISI‚ÌO                ,forma_aqui,2,,51
VALOR DA DESPESA / AQUISI‚ÌO                 ,valor_despe,11,2,53
FATOR DE ANUALIZA‚ÌO                 ,fator_anu,2,,64
DEFLATOR FATOR                ,deflator,5,2,66
VALOR DA DESPESA DEFLACIONADO      ,desp_defla,11,2,71
VALOR DA DESPESA ANUALIZADO E EXPANDIDO (FATOR2)     ,desp_anu_exp,16,2,82
CîDIGO DE IMPUTA‚ÌO                   ,cod_impu,2,,98
RENDA MONETçRIA MENSAL DA UC       ,rend_mon_mes_uc,16,2,100
RENDA NÌO MONETçRIA MENSAL DA UC   ,rend_nmon_mes_uc,16,2,116
RENDA TOTAL MENSAL DA UC                 ,rend_tot_mes_uc,16,2,132
METODO DA QUANTIDADE ADQUIRIDA,met_quant_adqui,2,,148
QUANTIDADE FINAL EM KG,quant_final,8,3,150
CîDIGO DO LOCAL DE AQUISI‚ÌO,cod_loc_aqui,5,,158
