Variavel,VAR,tamanho,Decimais,inicial
TIPO DE REGISTRO                  ,registro,2,,1
C”DIGO DA UF,uf,2,,3
N˜MERO SEQUENCIAL,n_seq,3,,5
DV DO SEQUENCIAL,dv_seq,1,,8
N˜MERO DO DOMICêLIO,n_dom,2,,9
N˜MERO DA UC                     ,n_uc,1,,11
N˜MERO DO INFORMANTE             ,n_infor,2,,12
ESTRATO GEOGRçFICO,estrato,2,,14
FATOR DE EXPANSíO 1 (DESENHO AMOSTRAL)           ,fator_exp,14,8,16
FATOR DE EXPANSíO 2 (AJUSTADO P/ ESTIMATIVAS)           ,fator_exp_2,14,8,30
N˜MERO DO QUADRO                 ,n_quadro,2,,44
C”DIGO DO ITEM                   ,cod_item,5,,46
FORMA DE AQUISIâíO               ,forma_aqui,2,,51
VALOR DA DESPESA / AQUISIâíO                ,valor_despe,11,2,53
FATOR DE ANUALIZAâíO                ,fator_anu,2,,64
DEFLATOR FATOR               ,deflator,5,2,66
VALOR DA DESPESA DEFLACIONADO     ,desp_defla,11,2,71
VALOR DA DESPESA ANUALIZADO E EXPANDIDO (FATOR2)    ,desp_anu_exp,16,2,82
C”DIGO DE IMPUTAâíO                  ,cod_impu,2,,98
RENDA MONETçRIA MENSAL DA UC      ,rend_mon_mes_uc,16,2,100
RENDA NíO MONETçRIA MENSAL DA UC  ,rend_nmon_mes_uc,16,2,116
RENDA TOTAL MENSAL DA UC                ,rend_tot_mes_uc,16,2,132
CARACTERêSTICA DOS MEDICAMENTOS,carac_med,2,,148
C”DIGO DO LOCAL DE AQUISIâíO,cod_loc_aqui,5,,150
