codeIBGE,sub_groups
10001,Aluguel_Monetario
10003,Aluguel_Monetario
10006,Aluguel_Monetario
10008,Aluguel_Monetario
10090,Aluguel_N_Monetario
10004,Condominio
10009,Condominio
6002,Energia_eletrica
6004,Telefone_fixo
28023,Telefone_celular
28024,Telefone_celular
6008, telefone_ tv_internet
6009, telefone_ tv_internet
6010, telefone_ tv_internet
6011, telefone_ tv_internet
6013, telefone_ tv_internet
6014, telefone_ tv_internet
6015, telefone_ tv_internet
6003,Gas_domestico
7001,Gas_domestico
6001,Agua_esgoto
6005,Outros
6007,Outros
6012,Outros
6999,Outros
12003,Outros
12005,Outros
12006,Outros
12007,Outros
12008,Outros
12009,Outros
12010,Outros
12011,Outros
12012,Outros
12013,Outros
12014,Outros
12015,Outros
12016,Outros
12017,Outros
12018,Outros
12019,Outros
12020,Outros
12021,Outros
12022,Outros
12023,Outros
12025,Outros
12030,Outros
12031,Outros
12032,Outros
12033,Outros
12034,Outros
12035,Outros
12999,Outros
7002,Manutencao_lar
7003,Manutencao_lar
7004,Manutencao_lar
7005,Manutencao_lar
7006,Manutencao_lar
7007,Manutencao_lar
7008,Manutencao_lar
7009,Manutencao_lar
7010,Manutencao_lar
7011,Manutencao_lar
7999,Manutencao_lar
8001,Manutencao_lar
8002,Manutencao_lar
8003,Manutencao_lar
8004,Manutencao_lar
8005,Manutencao_lar
8006,Manutencao_lar
8007,Manutencao_lar
8008,Manutencao_lar
8009,Manutencao_lar
8010,Manutencao_lar
8011,Manutencao_lar
8012,Manutencao_lar
8013,Manutencao_lar
8014,Manutencao_lar
8015,Manutencao_lar
8016,Manutencao_lar
8017,Manutencao_lar
8018,Manutencao_lar
8019,Manutencao_lar
8020,Manutencao_lar
8021,Manutencao_lar
8022,Manutencao_lar
8023,Manutencao_lar
8024,Manutencao_lar
8025,Manutencao_lar
8026,Manutencao_lar
8027,Manutencao_lar
8028,Manutencao_lar
8029,Manutencao_lar
8030,Manutencao_lar
8031,Manutencao_lar
8032,Manutencao_lar
8033,Manutencao_lar
8034,Manutencao_lar
8035,Manutencao_lar
8036,Manutencao_lar
8037,Manutencao_lar
8038,Manutencao_lar
8039,Manutencao_lar
8040,Manutencao_lar
8041,Manutencao_lar
8042,Manutencao_lar
8043,Manutencao_lar
8044,Manutencao_lar
8045,Manutencao_lar
8046,Manutencao_lar
8047,Manutencao_lar
8048,Manutencao_lar
8049,Manutencao_lar
8050,Manutencao_lar
8051,Manutencao_lar
8052,Manutencao_lar
8053,Manutencao_lar
8054,Manutencao_lar
8055,Manutencao_lar
8056,Manutencao_lar
8057,Manutencao_lar
8058,Manutencao_lar
8059,Manutencao_lar
8060,Manutencao_lar
8061,Manutencao_lar
8062,Manutencao_lar
8063,Manutencao_lar
8064,Manutencao_lar
8065,Manutencao_lar
8066,Manutencao_lar
8067,Manutencao_lar
8068,Manutencao_lar
8070,Manutencao_lar
8071,Manutencao_lar
8072,Manutencao_lar
8073,Manutencao_lar
8074,Manutencao_lar
8075,Manutencao_lar
8076,Manutencao_lar
8077,Manutencao_lar
8078,Manutencao_lar
8079,Manutencao_lar
8999,Manutencao_lar
19001,Manutencao_lar
19002,Manutencao_lar
19003,Manutencao_lar
19004,Manutencao_lar
19005,Manutencao_lar
19006,Manutencao_lar
19007,Manutencao_lar
19008,Manutencao_lar
19009,Manutencao_lar
19010,Manutencao_lar
19011,Manutencao_lar
19012,Manutencao_lar
19013,Manutencao_lar
19014,Manutencao_lar
19015,Manutencao_lar
19016,Manutencao_lar
19017,Manutencao_lar
19018,Manutencao_lar
19019,Manutencao_lar
19020,Manutencao_lar
19021,Manutencao_lar
19022,Manutencao_lar
19023,Manutencao_lar
19024,Manutencao_lar
19025,Manutencao_lar
19026,Manutencao_lar
19027,Manutencao_lar
19028,Manutencao_lar
19029,Manutencao_lar
19030,Manutencao_lar
19099,Manutencao_lar
86057,Manutencao_lar
86083,Manutencao_lar
86090,Manutencao_lar
86001,Artigo_limpeza
86002,Artigo_limpeza
86003,Artigo_limpeza
86004,Artigo_limpeza
86005,Artigo_limpeza
86006,Artigo_limpeza
86007,Artigo_limpeza
86008,Artigo_limpeza
86011,Artigo_limpeza
86014,Artigo_limpeza
86015,Artigo_limpeza
86016,Artigo_limpeza
86017,Artigo_limpeza
